Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JC215990,04/04/2019 08:30:00 PM,068XX W DIVERSEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,2511,36,14,1130139,1917852,2019,41.930861708,-87.797188041,"(41.930861708, -87.797188041)"
JC216129,04/08/2019 01:17:00 AM,058XX N MOBILE AVE,0460,BATTERY,SIMPLE,STREET,false,false,1622,45,08B,1133261,1938327,2019,41.986993058,-87.785233864,"(41.986993058, -87.785233864)"
JC216098,04/08/2019 09:54:00 AM,0000X N HOMAN BLVD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,1123,28,26,1153708,1900256,2019,41.882139587,-87.71104513,"(41.882139587, -87.71104513)"
JC216134,04/08/2019 10:14:00 AM,076XX S VINCENNES AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,0623,17,26,1175515,1854490,2019,41.756091788,-87.632341337,"(41.756091788, -87.632341337)"
JC216032,04/08/2019 08:35:00 AM,015XX W 62ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0713,16,08B,1167315,1863619,2019,41.781322375,-87.66213147,"(41.781322375, -87.66213147)"
JC215997,04/07/2019 07:30:00 AM,026XX W 24TH ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,1034,12,07,1159191,1887972,2019,41.848320196,-87.69124888,"(41.848320196, -87.69124888)"
JC216013,04/08/2019 08:51:00 AM,073XX S YALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0731,6,08B,1175893,1856331,2019,41.761135248,-87.630900966,"(41.761135248, -87.630900966)"
JC216153,04/05/2019 12:01:00 AM,132XX S BALTIMORE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,0433,10,11,1199097,1817804,2019,41.654862306,-87.547147414,"(41.654862306, -87.547147414)"
JC216073,04/08/2019 09:40:00 AM,073XX S DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0735,17,14,1164295,1855973,2019,41.760404868,-87.673418574,"(41.760404868, -87.673418574)"
JC216149,04/03/2019 09:00:00 AM,016XX E 95TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,0431,7,11,1188861,1842311,2019,41.722362598,-87.58382047,"(41.722362598, -87.58382047)"
JC215993,04/08/2019 03:00:00 AM,086XX S EXCHANGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0423,10,14,1197311,1848215,2019,41.738357609,-87.552673758,"(41.738357609, -87.552673758)"
